unnamed: 0,unnamed: 0.2,unnamed: 0.1,id,name,preferredid,description,county,municipality,address,zip,state,longitude,latitude,acreage,typedescription
0,0,0,2555-AREA0000000004,Superior Plating,SR0000131,SUPERIOR PLATING INC (SF),Hennepin,Minneapolis,"315 1st Ave NE, Minneapolis, MN 55413",55413.0,MN,-93.25626417,44.98990297,,Superfund Site
1,1,1,191968-AREA0000000002,Pine Street Dump,SR0000192,Pine Street Dump,Dakota,Hastings,"See location description, Hastings, MN 55033",55033.0,MN,-92.86545563,44.72741318,,Superfund Site
2,2,2,308-AREA0000000003,Tellijohn Landfill,SW-67,Tellijohn Landfill,Le Sueur,Ottawa Township,"37701 Ottawa Rd, Le Sueur, MN 56058",56058.0,MN,-93.92896772,44.40421141,,Closed Landfill Site
3,3,3,981-AREA0000000003,Kurt Mfg/Machining,SR0000011,KURT MANUFACTURING CO,Anoka,Fridley,"5280 Main St NE, Fridley, MN 55421",55421.0,MN,-93.26936796,45.06402163,,Superfund Site
4,4,4,22434-AREA0000000002,Balboa Business Center,SR0000025,TONKA MAIN PLANT,Hennepin,Mound,"5300 Shoreline Dr, Mound, MN 55364",55364.0,MN,-93.6553037,44.9367022,,Superfund Site
5,5,5,197401-AREA0000000002,Pigs Eye Landfill,SR0000117,PIG'S EYE LANDFILL,Ramsey,Saint Paul,"See location description, Saint Paul, MN 55106",55106.0,MN,-93.03838348,44.93276596,,Superfund Site
6,6,6,102356-AREA0000000002,General Mills,SR0000003,GENERAL MILLS,Hennepin,Minneapolis,"2010 E Hennepin Ave, Minneapolis, MN 55413",55413.0,MN,-93.22368354,44.99080371,,Superfund Site
7,7,7,185391-AREA0000000003,Oakdale Dump Sites,SR0000055,3M Oakdale Dump Sites,Washington,Oakdale,"See location description, Oakdale, MN 55128",55128.0,MN,-92.97213558,44.99395108,37.0,Superfund Site
8,8,8,4292-AREA0000000002,Precision Plating Inc,SR0000249,"PRECISION PLATING, INC. (SF)",Hennepin,Minneapolis,"230 Girard Ave N, Minneapolis, MN 55405",55405.0,MN,-93.29665218,44.97921725,,Superfund Site
9,9,9,108010-AREA0000000003,Formerly Gold Eagle Laundry,SR0001569,Gold Eagle Cleaners – Richfield,Hennepin,Richfield,"1537 East 66th Street, Richfield, MN 55423",55423.0,MN,-93.25214396,44.88313586,,Superfund Site
10,10,10,57364-AREA0000000004,MacGillis & Gibbs Superfund Site,SR0000200,Macgillis and Gibbs Waste Site,Ramsey,New Brighton,"440 5th Ave NW, New Brighton, MN 55112-3238",55112.0,MN,-93.19405365,45.05560684,,Superfund Site
11,11,11,104343-AREA0000000001,Hmong American Shopping Center/Pilgrim,SR0000373,Hmong Shopping Center/Pilgrim Cleaners,Hennepin,Brooklyn Center,"1900-1980 57th Ave N, Brooklyn Center, MN 55430",55430.0,MN,-93.30407335,45.05852587,,Superfund Site
12,12,12,3180-AREA0000000002,Pollution Controls Inc (PCI),SR0000107,POLLUTION CONTROLS INC. (a.k.a. PCI) (SF),Scott,Shakopee,"Highway 101 & Highway 89, Shakopee, MN 55379",55379.0,MN,-93.41777039,44.7895813,,Superfund Site
13,13,13,1444-AREA0000000001,Crosby American Properties Landfill,SW-16,Crosby American Properties Landfill,Dakota,Inver Grove Heights,"11001 Clark Road, Inver Grove Heights, MN 55077",55077.0,MN,-93.04762268,44.79136276,,Closed Landfill Site
14,14,14,197192-AREA0000000002,Centerville Road Site,SR0000379,CENTERVILLE ROAD DUMP,Ramsey,White Bear Township,"See location description, White Bear Lake, MN 55110",55110.0,MN,-93.05363241,45.08831142,,Superfund Site
15,15,15,977-AREA0000000003,Woodlake Sanitary Landfill,SW-61,Woodlake Landfill,Hennepin,Medina,"4000 Hamel Road, Medina, MN 55340",55340.0,MN,-93.62299428,45.04469677,,Closed Landfill Site
16,16,16,2154-AREA0000000003,Dakhue Landfill,SW-50,Dakhue Sanitary Landfill,Dakota,Hampton Township,"25926 Hogan Ave, Hampton, MN 55031",55031.0,MN,-92.92831421,44.57290268,,Closed Landfill Site
17,17,17,213689-AREA0000000001,University Ave & Pascal St,SR0001405,UNIVERSITY AVE & PASCAL ST,Ramsey,Saint Paul,"This PLP funded site is located east of North Pascal Street and  north of University Avenue., Saint Paul, MN",,MN,-93.16223908,44.95572405,,Superfund Site
18,18,18,195173-AREA0000000001,Saint Paul Levee Property,SR0000198,ST. PAUL LEVEE PROPERTY,Ramsey,Saint Paul,"SE of Shepard Road and Randolph Avenue, Saint Paul, MN 55102",55102.0,MN,-93.11948388,44.92538797,6.5,Superfund Site
19,19,19,195377-AREA0000000003,5101 Minnetonka Blvd,SR0001570,Minnetonka Boulevard and Raleigh Avenue South,Hennepin,Saint Louis Park,"5101 Minnetonka Boulevard, Saint Louis Park 55416",,,-93.34400399,44.94811394,,Superfund Site
20,20,20,193787-AREA0000000002,Reilly Tar & Chem Saint Louis Park,SR0000060,REILLY TAR & CHEM SAINT LOUIS PARK,Hennepin,Saint Louis Park,"Louisiana & Walker St, Saint Louis Park, MN 55426",55426.0,MN,-93.37249756,44.94234848,,Superfund Site
21,21,21,1163-AREA0000000005,3M Chemical Operations' Cottage Grove facility,SR0000033,3M Cottage Grove,Washington,Cottage Grove,"10746 Innovation Rd, Cottage Grove, MN 55016",55016.0,MN,-92.91510773,44.79076385,865.0,Superfund Site
22,22,22,195554-AREA0000000001,Lakeland GW Contamination,SR0000145,LAKELAND GROUND WATER CONTAMINATION,Washington,Lakeland,"Most of the City of Lakeland, Lakeland, MN 55043",55043.0,MN,-92.7686615,44.95433044,,Superfund Site
23,23,23,278-AREA0000000003,Hopkins Sanitary Landfill,SW-58,Hopkins Sanitary Landfill,Hennepin,Hopkins,"1414 7th Street S., Hopkins, MN 55343",55343.0,MN,-93.41973505,44.91097393,,Closed Landfill Site
24,24,24,196669-AREA0000000002,Bell Lumber & Pole Co,SR0000034,BELL LUMBER & POLE COMPANY,Ramsey,New Brighton,"440 5th Ave NW, New Brighton, MN 55112",55112.0,MN,-93.19619751,45.05310822,,Superfund Site
25,25,25,2273-AREA0000000003,Washington County Landfill,SW-1,Washington County Landfill,Washington,Lake Elmo,"4029 Jamaca Ave North, Lake Elmo, MN 55042",55042.0,MN,-92.92227244,45.00596894,,Closed Landfill Site
26,26,26,28718-AREA0000000003,Certified Auto Body,SR0001412,24TH AND HENNEPIN,Hennepin,Minneapolis,"2309 Hennepin Ave S, Minneapolis, MN 55405-2740",55405.0,MN,-93.29333683,44.95998711,0.47,Superfund Site
27,27,27,4305-AREA0000000006,Hospital Linen Services,SR0001406,Hospital Linen,Ramsey,Saint Paul,"740 East 7th Street, Saint Paul, MN 55106",55106.0,MN,-93.07055862,44.95959149,,Superfund Site
28,28,28,213688-AREA0000000001,55th St & Lyndale Ave S,SR0001404,55TH ST & LYNDALE AVE S,Hennepin,Minneapolis,"55th St W and Lyndale Ave S, Minneapolis, MN 55109",55109.0,MN,-93.28833565,44.90328532,,Superfund Site
29,29,29,187060-AREA0000000004,Cedar Services,SR0000087,Cedar Services,Hennepin,Minneapolis,"2901 5th St NE, Minneapolis, MN 55418",55418.0,MN,-93.25934787,45.02012511,,Superfund Site
30,30,30,124478-AREA0000000027,Bae Systems Land & Armaments LP,SR0000357,SW FRIDLEY AREA WIDE GROUNDWATER SURVEY,Anoka,Fridley,"4800 E River Rd, Fridley, MN 55421",55421.0,MN,-93.27617259,45.05761516,,Superfund Site
31,31,31,195334-AREA0000000002,Joslyn Mfg and Supply Co,SR0000001,JOSLYN MFG. & SUPPLY CO.,Hennepin,Brooklyn Center,"4837 France Ave N, Brooklyn Center, MN 55429",55429.0,MN,-93.33596802,45.04550171,,Superfund Site
32,32,32,26504-AREA0000000003,One Hour Martinizing,SR0000375,Southview Boulevard,Dakota,South Saint Paul,"1003 Southview Blvd, South Saint Paul, MN 55075-2238",55075.0,MN,-93.04750315,44.8889188,,Superfund Site
33,33,33,88053-AREA0000000003,Spring Park city of,SR0001349,SPRING PARK MUNICIPAL WELLS,Hennepin,Spring Park,"4349 Warren Ave, Spring Park, MN 55384",55384.0,MN,-93.63386729,44.93627611,0.54,Superfund Site
34,34,34,1108-AREA0000000004,US Air Force Reserve/934th Airlift Wing,SR0000073,TWIN CITIES AFRB,Hennepin,Fort Snelling Unorganized,"760 Military Highway Bldg 744, Minneapolis, MN 55450",55450.0,MN,-93.205361,44.863167,,Superfund Site
35,35,35,34000-AREA0000000003,Chemical Marketing Corp of Am Chemart,SR0001009,CHEMICAL MARKETING CORP OF AMERICA,Hennepin,Minneapolis,"180 Humboldt Ave N, Minneapolis, MN 55405",55405.0,MN,-93.2977451,44.97726341,0.8,Superfund Site
36,36,36,5151-AREA0000000003,Flying Cloud Landfill,SW-14,Flying Cloud Landfill,Hennepin,Eden Prairie,"9813 Flying Cloud Drive, Eden Prairie, MN 55347",55347.0,MN,-93.45143344,44.82024637,,Closed Landfill Site
37,37,37,195132-AREA0000000002,Hiawatha Business Center,SR0000348,CMC Heartland Lite Yard,Hennepin,Minneapolis,"See Location Description, Minneapolis, MN 55407",55407.0,MN,-93.24083,44.951934,,Superfund Site
38,38,38,213687-AREA0000000001,Arcade & Hawthorne Ave E,SR0001403,ARCADE & HAWTHORNE AVE E,Ramsey,Saint Paul,"Arcade St and Hawthorne Ave E, Saint Paul, MN 55106",55106.0,MN,-93.06565341,44.9786704,0.33,Superfund Site
39,39,39,213686-AREA0000000001,Bloomington Area-Wide Study,SR0001402,LYNDALE AVE CORRIDOR,Hennepin,Bloomington,,,,-93.288589,44.840755,145.0,Superfund Site
40,40,40,224898-AREA0000000001,East Metro PFAS,SR0001491,East Metro PFAS,Washington,Woodbury,,,,-92.892286,44.882892,,Superfund Site
41,41,41,3181-AREA0000000002,Sun Prairie Landfill,SW-91,Sun Prairie Landfill,Le Sueur,Lexington Township,"19588 376th St, Le Center, MN 56057",56057.0,MN,-93.65540904,44.40658308,,Closed Landfill Site
42,42,42,192080-AREA0000000002,Valentine Clark Corp,SR0000044,Valentine Clark Corp,Ramsey,Saint Paul,"2516 Doswell Ave, Saint Paul, MN 55108",55108.0,MN,-93.2048111,44.98069,23.0,Superfund Site
43,43,43,191646-AREA0000000002,Mibco Site,SR0000177,MIBCO SITE,Hennepin,Minnetonka,"15000 Minnetonka Industrial Blvd, Minnetonka, MN 55345",55345.0,MN,-93.47143555,44.93635941,4.3,Superfund Site
44,44,44,189593-AREA0000000002,Highway 100 and County Road 3 Groundwater Plume,SR0000377,Highway 100 and County Road 3 Groundwater Plume,Hennepin,Saint Louis Park,"See location description, Saint Louis Park, MN 55416",55416.0,MN,-93.35791831,44.93698015,,Superfund Site
45,45,45,1541-AREA0000000002,Savage Riverport LLC,SR0000360,Minnesota Valley Landfill,Scott,Savage,"12100 Yosemite Ave S, Savage, MN 55378",55378.0,MN,-93.35311044,44.78028453,,Superfund Site
46,46,46,2447-AREA0000000007,Cummins Power Generation - Fridley,SR0000004,BOISE CASCADE ONAN,Anoka,Fridley,"1400 73rd Ave NE, Fridley, MN 55432",55432.0,MN,-93.23370535,45.09869399,183.0,Superfund Site
47,47,47,193207-AREA0000000002,Schloff Chemical,SR0000175,SCHLOFF CHEMICAL (SF),Hennepin,Saint Louis Park,"3938 Meadowbrook Rd, Saint Louis Park, MN 55426",55426.0,MN,-93.37646805,44.93075856,,Superfund Site
48,48,48,21451-AREA0000000002,Baytown GW Contamination Site,SR0000084,Baytown Twp Groundwater Contamination,Washington,Lake Elmo,"11325 Stillwater Blvd N, Lake Elmo, MN 55042",55042.0,MN,-92.87613897,45.00342438,4500.0,Superfund Site
49,49,49,103215-AREA0000000002,White Way Cleaners,SR0001293,WHITE WAY CLEANERS (SF),Hennepin,Minneapolis,"113 E 26th St, Minneapolis, MN 55404",55404.0,MN,-93.27567291,44.95505524,0.7,Superfund Site
50,50,50,189186-AREA0000000003,Freeway Sanitary Landfill,SW-57,Freeway Landfill and Dump,Dakota,Burnsville,"1001 Blackdog Road, Burnsville, MN 55337",55337.0,MN,-93.29481506,44.79390717,,Closed Landfill Site
51,51,51,196575-AREA0000000003,Minnegasco,SR0000279,MINNEGASCO  OU-2 GROUNDWATER,Hennepin,Minneapolis,"1406 West River Pkwy, Minneapolis, MN 55402",55402.0,MN,-93.24612912,44.97779713,25.0,Superfund sub-area
52,52,52,124478-AREA0000000006,Bae Systems Land & Armaments LP,SR0000029,FMC,Anoka,Fridley,"4800 E River Rd, Fridley, MN 55421-1498",55421.0,MN,-93.27618652,45.05762496,18.71,Superfund Site
53,53,53,188197-AREA0000000002,3M Woodbury Ind Waste Dspl Site,SR0000365,3M Woodbury (SF),Washington,Woodbury,"See location description, Woodbury, MN 55119",55119.0,MN,-92.89554397,44.86741635,677.0,Superfund Site
54,54,54,1286-AREA0000000005,Resideo - Golden Valley,SR0000018,HONEYWELL INC - GOLDEN VALLEY PLANT,Hennepin,Golden Valley,"1985 Douglas Dr N, Golden Valley, MN 55422",55422.0,MN,-93.36023397,45.00372847,90.0,Superfund Site
55,55,55,208492-AREA0000000003,Fish Hatchery Dump,SR0000376,Fish Hatchery Dump,Ramsey,Saint Paul,"See location description, Saint Paul, MN 55119",55119.0,MN,-93.0378176,44.94292303,,Superfund Site
56,56,56,16993-AREA0000000002,Brooklyn Park Dump,SR0000112,BROOKLYN PARK DUMP (SF),Hennepin,Brooklyn Park,"4105 85th Avenue North, Brooklyn Park, MN 55443",55443.0,MN,-93.33506774,45.10777578,,Superfund Site
57,57,57,1461-AREA0000000003,Louisville Landfill,SW-32,Louisville Landfill,Scott,Louisville Township,"3698 130th St, Louisville Township, MN 55352",55352.0,MN,-93.59239197,44.75893402,,Closed Landfill Site
58,58,58,186122-AREA0000000002,Farmington Ground Water Plume,SR0000329,Farmington Ground Water Plume,Dakota,Farmington,"3rd St to 5th St and Main to Oak, Farmington, MN 55024",55024.0,MN,-93.14402008,44.64045334,6.0,Superfund Site
59,59,59,124478-AREA0000000009,Bae Systems Land & Armaments LP,SR0000072,NIROP OU1,Anoka,Fridley,"4800 E River Rd, Fridley, MN 55421-1498",55421.0,MN,-93.27662645,45.05846786,122.0,Superfund Site
60,60,60,47112-AREA0000000014,US Army TCAAP,SR0000313,Twin Cities Army Ammunition Plant (TCAAP),Ramsey,Arden Hills,"TCAAP - Bldg 103-502-104, Arden Hills, MN 55112",55112.0,MN,-93.16628265,45.09410095,,Superfund Site
61,61,61,23044-AREA0000000001,Baldwin Supply,SR0000245,UNITOG (SF),Hennepin,Minneapolis,"2306 Washington Ave N, Minneapolis, MN 55411",55411.0,MN,-93.28173165,45.00266573,,Superfund Site
62,62,62,22030-AREA0000000002,Reviva,SR0000027,DEALERS MANUFACTURING CO,Anoka,Fridley,"5130 Main St NE, Fridley, MN 55421",55421.0,MN,-93.26882534,45.06149062,,Superfund Site
63,63,63,190060-AREA0000000002,White Bear Township Dump,SR0000122,HIGHWAY 96 DUMP,Ramsey,White Bear Township,"See location description, White Bear Township, MN 55110",55110.0,MN,-93.066185,45.08295822,6.0,Superfund Site
64,64,64,24670-AREA0000000003,Gold Eagle Cleaners,SR0000290,Gold Eagle Cleaners,Ramsey,Roseville,"1233 Larpenteur Ave W, Roseville, MN 55113-6319",55113.0,MN,-93.15202991,44.99242191,1.0,Superfund Site
65,65,65,9058-AREA0000000001,Zephyr Cleaners,SR0000266,214 AND 220 RAMSEY STREET (SF),Dakota,Hastings,"214 Ramsey St, Hastings, MN 55033-1219",55033.0,MN,-92.85002576,44.74419277,3.0,Superfund Site
66,66,66,192580-AREA0000000004,Ashland Oil/Park Penta/Sonford Product,SR0000278,ASHLAND OIL - PARK PENTA,Washington,Saint Paul Park,"100 E Broadway, Saint Paul Park, MN 55071",55071.0,MN,-93.00054169,44.84753036,,Superfund Site
67,67,67,186236-AREA0000000003,Rice County Dumps,SR0000382,"RICE COUNTY DUMP (FORMER, COMUS)",Rice,Bridgewater Township,"See location description, Comus, MN 55019",55019.0,MN,-93.24395171,44.38689345,,Superfund Site
68,68,68,19408-AREA0000000001,Former Pilgrim Cleaners Inc Site,SR0000206,Pilgrim Cleaners,Hennepin,Brooklyn Center,"6846 Brooklyn Blvd, Brooklyn Center, MN 55429",55429.0,MN,-93.33519165,45.07963633,0.5,Superfund Site
69,69,69,23769-AREA0000000006,Universal Plating Rust Proofing,SR0001398,UNIVERSAL PLATING,Hennepin,Minneapolis,"1900 Monroe St NE, Minneapolis, MN 55418",55418.0,MN,-93.25287354,45.00770205,1.6,Superfund Site
70,70,70,213683-AREA0000000001,66th St & Vincent Ave,SR0001400,66TH ST & VINCENT AVE,Hennepin,Richfield,"2816 W 66th St, Richfield, MN 55423",55423.0,MN,-93.31567724,44.88351613,50.0,Superfund Site
71,71,71,213685-AREA0000000001,SE Hennepin Area Groundwater and Vapor,SR0001401,SOUTHEAST HENNEPIN AREA GROUNDWATER & VAPOR SITE,Hennepin,Minneapolis,"3202 Spring Street, MN 55413",55413.0,MN,-93.21757166,44.99515674,,Superfund Site
