Group,Program,Preferred ID,Facility name,Sys Loc Code,Loc Name,Loc Type,Latitude,Longitude,Sys Sample Code,Sample date,Medium,Matrix,Analyte,Analyte Short Name,CAS,Detect Flag,Result text,Result numeric,Unit,Lab Qualifiers,Detect description,Method Detection Limit,Reporting Detection Limit,Approval code,Fraction,Dilution factor,Result type code,Analytic method,AI ID,AI name,Address,City,State,Zip Code,County
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,11Cl-PF3OUdS,763051-92-9,N,<1.58,,ng/L,<,Below Method Detection Limit,1.58,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,FtS 4:2 acid,4:2 FtS,757124-72-4,N,<2.24,,ng/L,<,Below Method Detection Limit,2.24,8.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,FtS 6:2 acid,6:2 FtS,27619-97-2,N,<3.37,,ng/L,<,Below Method Detection Limit,3.37,8.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,FtS 8:2 acid,8:2 FtS,39108-34-4,N,<4.47,,ng/L,<,Below Method Detection Limit,4.47,8.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid,9Cl-PF3ONS,756426-58-1,N,<0.93,,ng/L,<,Below Method Detection Limit,0.93,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,"4,8-Dioxa-3H-perfluorononanoic acid",ADONA,919005-14-4,N,<0.73,,ng/L,<,Below Method Detection Limit,0.73,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSAA,2991-50-6,N,<1.26,,ng/L,<,Below Method Detection Limit,1.26,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Hexafluoropropylene oxide dimer acid,HFPO-DA,13252-13-6,N,<2.34,,ng/L,<,Below Method Detection Limit,2.34,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSAA,2355-31-9,N,<1.02,,ng/L,<,Below Method Detection Limit,1.02,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,N-ethylperfluoro-1-octanesulfonamide,N-EtFOSA,4151-50-2,N,<1.15,,ng/L,<,Below Method Detection Limit,1.15,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
