Shape *,NAME *,Address,City,State,ZIP,TYP,Service Type,created_user,created_date,last_edited_user,last_edited_date
Point,Judson Memorial Baptist Church Meals on Wheels,4101 Harriet Ave,Minneapolis,MN,55409,Food Program,Home Delivered Meals,BESTE,5/14/2025 8:07:07 PM,BESTE,5/16/2025 2:58:46 AM
Point,Faith Covenant Church Meals on Wheels,12921 Nicollet Ave,Burnsville,MN,55337,Food Program,Home Delivered Meals,BESTE,5/14/2025 8:07:07 PM,BESTE,5/16/2025 2:58:46 AM
Point,St. Stephen Lutheran Church Meals on Wheels,8400 France Ave S,Bloomington,MN,55431,Food Program,Home Delivered Meals,BESTE,5/14/2025 8:07:07 PM,BESTE,5/16/2025 2:58:46 AM
Point,Community Action Center - Northfield Meals on Wheels,1651 Jefferson Pkwy Ste Hs-200,Northfield,MN,55057,Food Program,Home Delivered Meals,BESTE,5/14/2025 8:07:07 PM,BESTE,5/16/2025 2:58:46 AM
Point,Northfield Hospital + Clinics Meals on Wheels,2000 North Avenue,Northfield,MN,55057,Food Program,Home Delivered Meals,BESTE,5/14/2025 8:07:07 PM,BESTE,5/16/2025 2:58:46 AM
Point,Mount Calvary Lutheran Church - ELCA Meals on Wheels,301 County Road 19,Excelsior,MN,55331,Food Program,Home Delivered Meals,BESTE,5/14/2025 8:07:07 PM,BESTE,5/16/2025 2:58:46 AM
Point,Park Nicollet Clinic Open Arms,1415 Saint Francis Ave,Shakopee,MN,55379,Food Program,Home Delivered Meals,BESTE,5/16/2025 2:55:02 AM,BESTE,5/16/2025 2:58:46 AM
Point,Mary Mother of the Church Open Arms,3333 Cliff Rd,Burnsville,MN,55337,Food Program,Home Delivered Meals,BESTE,5/16/2025 2:55:02 AM,BESTE,5/16/2025 2:58:46 AM
Point,Chaska Free Food Distribution,2100 Stoughton Ave,Chaska,MN,55318,Food Program,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:38:33 PM
Point,Norwood Young America Free Food Distribution,310 Elm St. W,Norwood Young America,MN,55368,Food Program,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:38:33 PM
Point,Eagle Ridge Middle School,13955 Glendale Rd,Savage,MN,55378,Food Program,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:38:33 PM
Point,Bethel's Rock Church,14201 Cedar Avenue,Apple Valley,MN,55124,Food Program,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:38:33 PM
Point,Friendship Church Prior Lake,17741 Fairlawn Ave,Prior Lake,MN,55372,Food Program,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:38:33 PM
Point,Hope for the Community,26518 France Ave,Elko New Market,MN,55020,Food Program,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:38:33 PM
Point,Scott Carver Dakota CAP Agency,738 1st Ave E,Shakopee,MN,55379,Food Shelf,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:07:07 PM
Point,Bountiful Basket Food Shelf,1600 Bavaria Road,Chaska,MN,55318,Food Shelf,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:07:07 PM
Point,Belle Plaine Food Shelf,128 N Meridian Street,Belle Plaine,MN,56011,Food Shelf,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:07:07 PM
Point,Hosanna Church,9600 163rd Street W,Lakeville,MN,55044,Free Meal,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:07:07 PM
Point,Mi Casita Pantry,1053 Jefferson St S,Shakopee,MN,55379,Food Shelf,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:07:07 PM
Point,"St. John's Lutheran Church Shakopee
Loaves & Fishes",119 8th Ave W,Shakopee,MN,55379,Free Meal,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:07:07 PM
Point,Prince of Peace Food Shelf,13901 Fairview Drive,Burnsville,MN,55337,Food Shelf,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:07:07 PM
Point,St. John's Lutheran Church,"300 E 4th Street, Chaska, MN 55318",Chaska,MN,55318,Free Meal,<Null>,BESTE,5/14/2025 8:07:07 PM,BESTE,5/14/2025 8:07:07 PM
