Name,Address,City,State,Zip,TYP,County,Source,Source_URL,Phone,Hours
Faith Covenant Church,12921 Nicollet Ave,Burnsville,MN,55337,Home Delivered Meals,Dakota,Meals On Wheels,https://www.mealsonwheelsmn.com/,9523939860,
St. Stephen Lutheran Church,8400 France Ave S,Bloomington,MN,55431,Home Delivered Meals,Hennepin,Meals On Wheels,https://www.bloomingtonmealsonwheels.com/,9528351665,
Judson Memorial Baptist Church,4101 Harriet Ave,Minneapolis,MN,55409,Home Delivered Meals,Hennepin,Meals On Wheels,https://meals-on-wheels.com/,6126233363,
Mount Calvary Lutheran Church - ELCA,301 County Road 19,Excelsior,MN,55331,Home Delivered Meals,Hennepin,Meals On Wheels,https://meals-on-wheels.com/,6126233363,
Community Action Center - Northfield,1651 Jefferson Pkwy Ste Hs-200,Northfield,MN,55057,Home Delivered Meals,Rice,Meals On Wheels,https://communityactioncenter.org/,5076643550,
Northfield Hospital + Clinics,2000 North Avenue,Northfield,MN,55057,Home Delivered Meals,Dakota,Meals On Wheels,https://www.northfieldhospital.org/,5076461034,
Scott Carver Dakota CAP Agency,738 1st Ave E,Shakopee,MN,55379,Food Shelf,Scott,CAP Agency,www.capagency.org/food-nutrition/food-shelf,9524962125,Monday-Friday 8am-4:30pm
Chaska Free Food Distribution ,2100 Stoughton Ave,Chaska,MN,55318,Free Food Box,Carver,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,,3rd Thursday of the month from 12-1pm
Norwood Young America Free Food Distribution ,310 Elm St. W,Norwood Young America,MN,55368,Free Food Box,Carver,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,,2nd Wednesday of the month from 12:30-1:30pm
Mi Casita Pantry,1053 Jefferson St S,Shakopee,MN,55379,Food Shelf,Scott,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,9522450735,"Monday, Wednesday, and Friday 1pm-6pm
 Saturday 9 am-12 pm."
Bountiful Basket Food Shelf,1600 Bavaria Road,Chaska,MN,55318,Food Shelf,Carver,Scott County,http://bountifulbasketfoodshelf.org/,9525560244,"Monday & Wednesday 9am-3:30pm
 Tuesday 9am-6:30pm
 Thursday & Friday 9am-12:30pm
 First and third Saturday 9am-noon
 First and third Thursday Latino night 4-7pm"
Eagle Ridge Middle School,13955 Glendale Rd,Savage,MN,55378,Free Food Box,Scott,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,9527072032,Second Wednesday of each month from 3-5:00 pm
Hosanna Church,9600 163rd Street W,Lakeville,MN,55044,Free Meal,Dakota,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,9524353332,Tuesdays 5:00pm-6:00pm
Belle Plaine Food Shelf,128 N Meridian Street,Belle Plaine,MN,56011,Food Shelf,Scott,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,6127519923,"Saturdays 9:00am to 11:00am
 Wednesdays 5:00pm to 7:00pm"
St. John's Lutheran Church,"300 E 4th Street, Chaska, MN 55318",Chaska,MN,55318,Free Meal,Carver,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,9524482433,Mondays 5:15pm- 6:15pm
Bethel's Rock Church,14201 Cedar Avenue,Apple Valley,MN,55124,Free Food Box,Dakota,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,9524324332,"4th Saturday of the month
 Registration begins at 11:00am
 Food bundles available 11:30am-12:30pm"
Hope for the Community,26518 France Ave,Elko New Market,MN,55020,Free Food Box,Scott,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,,"Drive Through Food distribution on the 1st & 3rd
 Wednesday of the month from 3:00pm-5:30pm"
"St. John's Lutheran Church Shakopee
Loaves & Fishes",119 8th Ave W,Shakopee,MN,55379,Free Meal,Scott,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,9524455666,"Monday, Tuesday, Thursday, Friday 5:30 – 6:30 PM"
Friendship Church Prior Lake,17741 Fairlawn Ave,Prior Lake,MN,55372,Free Food Box,Scott,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,9524478282,"every month on the
second Thursday 5:30pm-7:30pm"
Prince of Peace Food Shelf,13901 Fairview Drive,Burnsville,MN,55337,Food Shelf,Dakota,Scott County,https://www.scottcountymn.gov/DocumentCenter/View/21414/Full-Food-Resource-Guide-12-23,9528989311,"Monday & Wednesday: 4:00pm-6:00pm
Tuesdays 11:00-1:00pm & 10:30am–12:30 pm
Thursday 10:30-12:30"
