OID,facility_c,facility_i,facility_t,facility_n,sys_loc_co,loc_name,loc_type,loc_type_2,well_statu,geologic_u,depth_of_w,bottom_of_,surf_elev,latest_sam,number_of_,result_cou,non_detect,detect_bel,exceedance,exceedan_1,exceedan_2,exceedan_3,exceedan_4,exceedan_5,exceedan_6,detect_b_1,detect_b_2,detect_b_3,detect_b_4,detect_b_5,latitude,longitude,eda_url,data_downl,moving_avg
4139,LS0000478,1500.0,Integrated Rem,Magellan Pipeline LP - Alexandria Terminal,250768,401 Co. Rd. 22 NW,Well,Well-Industrial,Active,Quaternary Buried Artesian Aquifer,110.0,0.0, ,1986-04-28,2.0,114.0,56.0,1.0,0.0,0.72, , , , , ,107-06-2,"1,2-Dichloroethane",.72 ug/L,.72,04/28/1986,45.896343,-95.389486,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=250768,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=250768,
2493,SW-76,1293.0,Closed Landfill,Gofer Landfill,245525,OW-9,Well,Well-Monitoring,Sealed,Quaternary Water Table Aquifer,24.0,1125.0,1149,1988-06-01,1.0,13.0,0.0,6.0,5.0,43.0,06/01/1988,71-43-2; 7440-43-9; 108-90-7; 60-29-7; 7439-96-5,Benzene; Cadmium; Chlorobenzene; Ethyl ether; Manganese,2.5 ug/L; .8 ug/L; 240 ug/L; 240 ug/L; 4300 ug/L,1.25; 1.6; 2.4; 1.2; 43,7440-38-2; 7440-47-3; 7439-92-1; 7440-66-6; 156-59-2; 156-60-5,"Arsenic; Chromium; Lead; Zinc; cis-1,2-Dichloroethylene; trans-1,2-Dichloroethylene",7.5 ug/L; 12 ug/L; 8.7 ug/L; 50 ug/L; .3 ug/L; .7 ug/L,.75; .12; .58; .03; .05; .08,06/01/1988,43.757964,-94.490179,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=245525,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=245525,
3239,SR0000060,1772.0,Superfund,Reilly Tar & Chemical Saint Louis Park,206443,W112,Well,Well-Other,Sealed,Multiple,540.0,378.0,917.52,1988-10-25,1.0,62.0,42.0,12.0,0.0,0.01, , , , , ,91-57-6; 91-57-6; 83-32-9; 83-32-9; 92-52-4; 92-52-4; 86-73-7; 86-73-7; 91-20-3; 91-20-3; 129-00-0; 129-00-0,2-Methylnaphthalene; 2-Methylnaphthalene; Acenaphthene; Acenaphthene; Biphenyl; Biphenyl; Fluorene; Fluorene; Naphthalene; Naphthalene; Pyrene; Pyrene,.061 ug/L; .061 ug/L; .015 ug/L; .015 ug/L; .0069 ug/L; .0069 ug/L; .0072 ug/L; .0072 ug/L; .047 ug/L; .047 ug/L; .0085 ug/L; .0085 ug/L,.01; .01; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,10/25/1988,44.937235,-93.356876,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=206443,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=206443,
14574,SR0000377,1773.0,Superfund,St. Louis Park Solvent Plume,206443,W112,Well,Well,Sealed,Prairie du Chien-Jordan,540.0,377.0,917,1988-10-25,1.0,62.0,42.0,12.0,0.0,0.01, , , , , ,91-57-6; 91-57-6; 83-32-9; 83-32-9; 92-52-4; 92-52-4; 86-73-7; 86-73-7; 91-20-3; 91-20-3; 129-00-0; 129-00-0,2-Methylnaphthalene; 2-Methylnaphthalene; Acenaphthene; Acenaphthene; Biphenyl; Biphenyl; Fluorene; Fluorene; Naphthalene; Naphthalene; Pyrene; Pyrene,.061 ug/L; .061 ug/L; .015 ug/L; .015 ug/L; .0069 ug/L; .0069 ug/L; .0072 ug/L; .0072 ug/L; .047 ug/L; .047 ug/L; .0085 ug/L; .0085 ug/L,.01; .01; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,10/25/1988,44.937154,-93.356796,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=206443,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=206443,1.8571428571428572
1625,SR0000060,1772.0,Superfund,Reilly Tar & Chemical Saint Louis Park,216040,W12,Well,Well-Other,Active,Quaternary Water Table Aquifer,47.0,872.0,919.29,1989-06-21,3.0,93.0,28.0,1.0,0.0,0.0, , , , , ,83-32-9,Acenaphthene,.37 ug/L,0,06/21/1989,44.93757,-93.361885,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=216040,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=216040,2.5714285714285716
2308,SR0000060,1772.0,Superfund,Reilly Tar & Chemical Saint Louis Park,216034,W6,Well,Well-Other,Sealed,Quaternary Water Table Aquifer,26.0,868.0,894.24,1989-06-23,3.0,93.0,2.0,1.0,8.0,140.0,06/23/1989,91-57-6; 83-32-9; 50-32-8; 92-52-4; 206-44-0; 86-73-7; 91-20-3; 129-00-0,2-Methylnaphthalene; Acenaphthene; Benzo[a]pyrene; Biphenyl; Fluoranthene; Fluorene; Naphthalene; Pyrene,230 ug/L; 370 ug/L; 14 ug/L; 71 ug/L; 200 ug/L; 280 ug/L; 1000 ug/L; 140 ug/L,28.75; 3.7; 140; 7.1; 2.86; 3.5; 14.29; 2.8,120-12-7,Anthracene,39 ug/L,.07,06/23/1989,44.938891,-93.373794,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=216034,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=216034,1.8571428571428572
12681,SR0000060,1772.0,Superfund,Reilly Tar & Chemical Saint Louis Park,161436,W407,Well,Well-Irrigation,Active,Multiple,543.0,377.0,920,1989-06-29,1.0,31.0,23.0,4.0,0.0,0.0, , , , , ,91-57-6; 83-32-9; 91-20-3; 129-00-0,2-Methylnaphthalene; Acenaphthene; Naphthalene; Pyrene,.0028 ug/L; .0024 ug/L; .0048 ug/L; .019 ug/L,0; 0; 0; 0,06/29/1989,44.94384,-93.324519,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=161436,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=161436,1.8571428571428572
6295,LS0002037,32319410.0,Petroleum,Alexandria Welding Shop,277823,WS-2,Well,Well-NonPubWtrSup,Active, ,0.0,0.0, ,1989-10-06,1.0,108.0,46.0,0.0,5.0,3050.0,10/06/1989,107-06-2; 71-43-2; 100-41-4; 108-88-3; 1330-20-7,"1,2-Dichloroethane; Benzene; Ethylbenzene; Toluene; Xylene",50 ug/L; 6100 ug/L; 1800 ug/L; 6900 ug/L; 6400 ug/L,50; 3050; 45; 98.57; 21.33, , , , , ,45.890396,-95.371776,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=277823,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=277823,1.8571428571428572
1654,SR0000060,1772.0,Superfund,Reilly Tar & Chemical Saint Louis Park,439725,W430,Well,Well-Monitoring,Sealed,Platteville,83.0,812.0,895.34,1990-05-31,1.0,62.0,62.0,0.0,0.0,0.0, , , , , , , , , , ,44.936918,-93.372196,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=439725,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=439725,1.8571428571428572
14031,SR0000377,1773.0,Superfund,St. Louis Park Solvent Plume,439767,P306,Well,Well-Monitoring,Active,Quaternary Water Table Aquifer,37.0,858.0,894.82,1990-05-31,1.0,62.0,62.0,0.0,0.0,0.0, , , , , , , , , , ,44.936958,-93.372186,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=439767,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=439767,0.8571428571428571
