Join_Count,TARGET_FID,facility_c,facility_i,facility_t,facility_n,sys_loc_co,loc_name,loc_type,loc_type_2,well_statu,geologic_u,depth_of_w,bottom_of_,surf_elev,latest_sam,number_of_,result_cou,non_detect,detect_bel,exceedance,exceedan_1,exceedan_2,exceedan_3,exceedan_4,exceedan_5,exceedan_6,detect_b_1,detect_b_2,detect_b_3,detect_b_4,detect_b_5,latitude,longitude,eda_url,data_downl,GNIS_FEATU,FEATURE_NA,CTU_CLASS,COUNTY_GNI,COUNTY_COD,COUNTY_NAM,POPULATION,SHAPE_Leng,Combined_GNIS_IDs,JoinKey
1,1,SR0000365,31373698.000000000000000,Superfund,3M Woodbury,257221,257221,Well,Well-Other, , ,0.000000000000000,0.000000000000000, ,3/22/2007 0:00:00,1.000000000000000,14.000000000000000,14.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,44.847461000000003,-92.880671000000007,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=257221,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=257221,2393644,Cottage Grove,CITY,659526,82,Washington,41027,48122.863541799997620,2393644_659526,257221_2393644_659526
1,2,SW-39,1265.000000000000000,Closed Landfill,Long Prairie Landfill,769461,MW-11,Well,Well-Monitoring,Active,Quaternary Buried Artesian Aquifer,39.000000000000000,1347.000000000000000,1386.125,5/19/2020 0:00:00,23.000000000000000,1542.000000000000000,83.000000000000000,3.000000000000000,0.000000000000000,0.030000000000000, , , , , ,7440-39-3; 7440-47-3; NO2NO3,Barium; Chromium; Inorganic nitrogen (nitrate and nitrite) as N,13 ug/L; 1.9 ug/L; 340 ug/L,.01; .02; .03,12/11/2017,45.980079000000003,-94.768536999999995,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=769461,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=769461,663688,Bruce,TOWNSHIP,659521,77,Todd,490,38652.907401399999799,663688_659521,769461_663688_659521
1,3,SW-49,1268.000000000000000,Closed Landfill,Ironwood Landfill,122207,W-90,Well,Well-Monitoring,Active,Quaternary Water Table Aquifer,15.000000000000000,1270.000000000000000,1285,9/28/2023 0:00:00,42.000000000000000,495.000000000000000,78.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,43.621229999999997,-92.386878999999993,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=122207,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=122207,663617,Bloomfield,TOWNSHIP,659468,23,Fillmore,325,42723.334497299998475,663617_659468,122207_663617_659468
1,4,SR0001491,43625976.000000000000000,Superfund,East Metro PFAS,854527,PZED,Well,Well-Monitoring,Active, ,21.000000000000000,875.000000000000000,896,7/18/2024 0:00:00,11.000000000000000,401.000000000000000,28.000000000000000,3.000000000000000,3.000000000000000,30886.080000000001746,05/10/2024,108427-53-8; 45298-90-6; 335-67-1,Perfluorohexane sulfonate; Perfluorooctane sulfonate; Perfluorooctanoic acid,.0297 ug/L; .632 ug/L; .244 ug/L,2.97; 274.78; 30886.08,45187-15-3; 375-22-4; 307-24-4,Perfluorobutane sulfonate; Perfluorobutanoic acid; Perfluorohexanoic acid,.0117 ug/L; .357 ug/L; .0435 ug/L,.12; .05; .22,05/10/2024,44.975805000000001,-92.905717999999993,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=854527,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=854527,2395589,Lake Elmo,CITY,659526,82,Washington,13514,36647.448345800003153,2395589_659526,854527_2395589_659526
1,5,SR0000365,31373698.000000000000000,Superfund,3M Woodbury,MNPCAP17884,MNPCAP17884,Well,Well-Other, , ,0.000000000000000,0.000000000000000, ,3/18/2008 0:00:00,4.000000000000000,126.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,44.872796000000001,-92.896795999999995,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=MNPCAP17884,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=MNPCAP17884,2397369,Woodbury,CITY,659526,82,Washington,77224,40891.720656600002258,2397369_659526,MNPCAP17884_2397369_659526
1,6,LS0079020,116478854.000000000000000,Petroleum,Gasoline Additive Project,2001013033, ,Well,Well-Domestic,Active, ,0.000000000000000,0.000000000000000, ,6/22/2023 0:00:00,1.000000000000000,70.000000000000000,68.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,43.881979999999999,-95.112577999999999,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=2001013033,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=2001013033,664334,Great Bend,TOWNSHIP,659462,17,Cottonwood,330,60651.640595400000166,664334_659462,2001013033_664334_659462
1,7,SW-146,1324.000000000000000,Closed Landfill,Leech Lake Landfill,565628, ,Well,Well-Domestic,Active,Quaternary Buried Artesian Aquifer,65.000000000000000,0.000000000000000, ,6/9/2022 0:00:00,17.000000000000000,1178.000000000000000,79.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,47.371718000000001,-94.685490000000001,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=565628,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=565628,664142,Farden,TOWNSHIP,659474,29,Hubbard,1210,38733.832697600002575,664142_659474,565628_664142_659474
1,8,LS0002303,1518.000000000000000,Petroleum,Bowmans Fuel Service,510170,BMW-3,Well,Well-Monitoring, ,St.Peter,32.200000000000003,70.000000000000000,102.37,3/30/2009 0:00:00,3.000000000000000,22.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,43.996541999999998,-92.457126000000002,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=510170,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=510170,2396395,Rochester,CITY,659500,55,Olmsted,125055,182274.632963000010932,2396395_659500,510170_2396395_659500
1,9,SR0000008,1892.000000000000000,Superfund,St. Regis Paper OU 1,2001002922,OU2-VAS33,Well,Well-Temporary, , ,80.000000000000000,1225.000000000000000,1304.7,2/19/2016 0:00:00,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000, , , , , ,91-20-3,Naphthalene,.22 ug/L,0,02/19/2016,47.369790000000002,-94.609945999999994,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=2001002922,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=2001002922,665295,Pike Bay,TOWNSHIP,659456,11,Cass,1684,53253.818764499999816,665295_659456,2001002922_665295_659456
1,10,SA0000903,184588847.000000000000000,Site Assessment,Red Oaks Neighborhood,122194, ,Well,Well-Domestic,Active,Wonewoc Sandstone,260.000000000000000,0.000000000000000, ,6/5/2024 0:00:00,4.000000000000000,758.000000000000000,194.000000000000000,2.000000000000000,0.000000000000000,0.610000000000000, , , , , ,45298-90-6; 45298-90-6,Perfluorooctanesulfonate (PFOS); Perfluorooctanesulfonate (PFOS),.0014 ug/L; .0014 ug/L,.61; .61,11/08/2021,45.225214999999999,-93.322586999999999,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=122194,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=122194,2393954,Andover,CITY,659447,02,Anoka,32822,45709.200306899998395,2393954_659447,122194_2393954_659447
