EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
626306,POPE CO.,VILLARD,05/25/2016,1410,Tornado, ,EF0,0,0,10000,0,MN,CST-6, ,104565,C,121,MPX,0,0,Law Enforcement, ,0.16,25,2,SSW,1,SSW,VILLARD,05/25/2016,1412,45.6989,-95.2829,45.7,-95.28,"A few boats were flipped, a shed was damaged and shingles were blown off a roof near Amelia Lake.","An Isolated but severe thunderstorm developed along a frontal boundary in central Minnesota during the afternoon of Wednesday, May 25th, near Glenwood. This storm tracked to the northeast and produced a tornado near Villard, along with large hail, and funnel cloud reports from northwest Stearns, and southern Todd, to central Morrison county. Another severe thunderstorms formed west of Albany and tracked to the northeast and formed a brief tornado near St. Anthony. No injuries were reported. A small shed and a few boats were flipped over near Villard.",1
626307,STEARNS CO.,ST ANTHONY,05/25/2016,1709,Tornado, ,EF0,0,0,15000,0,MN,CST-6, ,104565,C,145,MPX,0,0,Trained Spotter, ,3.3,25,1,NE,3,SSE,ST FRANCIS,05/25/2016,1715,45.6894,-94.6042,45.7298,-94.5674,"A trained spotter video taped a tornado near Highway 238 and Universal Road, northeast of St. Anthony. Other pictures and video determined that it traveled a little over three miles, occasionally touching down along the way.  Scattered trees were blown down, and a small amount of tin was peeled off a barn roof. No other structures were hit and no injuries occurred.","An Isolated but severe thunderstorm developed along a frontal boundary in central Minnesota during the afternoon of Wednesday, May 25th, near Glenwood. This storm tracked to the northeast and produced a tornado near Villard, along with large hail, and funnel cloud reports from northwest Stearns, and southern Todd, to central Morrison county. Another severe thunderstorms formed west of Albany and tracked to the northeast and formed a brief tornado near St. Anthony. No injuries were reported. A small shed and a few boats were flipped over near Villard.",2
629201,RED LAKE CO.,OKLEE,05/27/2016,1314,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,104632,C,125,FGF,0,0,Law Enforcement, ,0.05,50,2,WNW,2,WNW,OKLEE,05/27/2016,1315,47.84,-95.92,47.84,-95.92,"Two funnel clouds were noted between Brooks and Oklee between 110 and 115 PM CST, with at least one brief touchdown reported in an open field.","Morning sunshine and moisture from recent rainfall combined to produce afternoon instability along the Red River Valley. In addition, a frontal boundary set up from the Lake of the Woods down into the southern Red River Valley. A few weak thunderstorm cells formed along the boundary by mid afternoon. One of the cells formed just southeast of the Fargo Moorhead area, and it quickly produced a funnel cloud. Many people from the city looking to the southeast saw this funnel and also the resulting tornado. There were also other reports of funnel clouds and tornadoes.",3
629205,CLAY CO.,MOORHEAD ARPT,05/27/2016,1357,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,104632,C,27,FGF,0,0,Storm Chaser, ,0.05,75,2,SSW,2,SSW,MOORHEAD ARPT,05/27/2016,1358,46.82,-96.7,46.82,-96.7,"Evidence from photographs and video indicate that a brief non-damaging touchdown occurred west of highway 52 and just south of 50th avenue south in rural Moorhead Township. Peak winds were estimated at 70 mph.","Morning sunshine and moisture from recent rainfall combined to produce afternoon instability along the Red River Valley. In addition, a frontal boundary set up from the Lake of the Woods down into the southern Red River Valley. A few weak thunderstorm cells formed along the boundary by mid afternoon. One of the cells formed just southeast of the Fargo Moorhead area, and it quickly produced a funnel cloud. Many people from the city looking to the southeast saw this funnel and also the resulting tornado. There were also other reports of funnel clouds and tornadoes.",4
629206,CLAY CO.,GLYNDON,05/27/2016,1401,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,104632,C,27,FGF,0,0,Broadcast Media, ,0.05,50,2,NNW,2,NNW,GLYNDON,05/27/2016,1402,46.9,-96.6,46.9,-96.6,"A brief touchdown was noted in a photo and report in an open field near the Buffalo River. Peak winds were estimated at 70 mph.","Morning sunshine and moisture from recent rainfall combined to produce afternoon instability along the Red River Valley. In addition, a frontal boundary set up from the Lake of the Woods down into the southern Red River Valley. A few weak thunderstorm cells formed along the boundary by mid afternoon. One of the cells formed just southeast of the Fargo Moorhead area, and it quickly produced a funnel cloud. Many people from the city looking to the southeast saw this funnel and also the resulting tornado. There were also other reports of funnel clouds and tornadoes.",5
627682,STEARNS CO.,SPRING HILL,06/03/2016,1608,Tornado, ,EF0,0,0,500000,0,MN,CST-6, ,104804,C,145,MPX,0,0,Storm Chaser, ,2.31,50,2,ENE,5,ENE,SPRING HILL,06/03/2016,1615,45.5488,-94.808,45.5482,-94.7602,"Two storm chasers observed a tornado occasionally touching down northeast of Spring Hill. It mostly crossed open fields, but it did hit several turkey barns along County Road 12, removing portions of the tin roofs and causing other damage to siding. Several large pines were also severed near the turkey barns.","Several thunderstorms developed during the afternoon of Friday, June 3rd in central Minnesota. These storms moved slowly across Stearns County and produced two funnel clouds, and one tornado near Spring Hill. Damage was isolated to a turkey barn northeast of Spring Hill, and no injuries were reported.",6
639275,PIPESTONE CO.,CAZENOVIA,06/03/2016,1635,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,106519,C,117,FSD,0,0,Law Enforcement, ,0.05,25,4,ENE,4,ENE,CAZENOVIA,06/03/2016,1636,44.1,-96.3105,44.1,-96.3095,"A brief tornado, a landspout, caused no reported damage.","Thunderstorms produced large hail, damaging winds, and a brief tornado in Pipestone and Lyon Counties in southwest Minnesota during the afternoon of June 3rd.",7
639496,PIPESTONE CO.,PIPESTONE ARPT,06/14/2016,1252,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,106551,C,117,FSD,0,0,NWS Storm Survey, ,3.78,20,1,W,3,NNW,PIPESTONE,06/14/2016,1302,43.9812,-96.3452,44.0359,-96.3463,"A tornado caused an unknown amount of crop damage.","Thunderstorms produced a tornado near Pipestone, and damaging winds at several other locations in southwest Minnesota during the afternoon of June 14th.",8
632095,BLUE EARTH CO.,VERNON CENTER,06/14/2016,1434,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,105070,C,13,MPX,0,0,Fire Department/Rescue, ,0.22,25,3,WNW,3,WNW,VERNON CENTER,06/14/2016,1435,43.9589,-94.2033,43.9596,-94.199,"The tornado touched down in an open field and was caught on video.","Tuesday morning, June 14th, a line of thunderstorms moved across far southern Minnesota, and into east central Minnesota and produced localized one to two inch rainfall amounts. During the early afternoon, a line of strong to severe thunderstorms developed across northeast Nebraska, and into northwest Iowa, southwest Minnesota and produced damaging winds of 60 to 70 mph. These storms moved into south central Minnesota and produced a few tornadoes, several reports of wind damage, and torrential rainfall which led to flash flooding. ||Most of the storms weakened below severe limits as they moved northward, toward the Twin Cities. However, torrential rainfall and areas of flash and areal flooding occurred across portions of southern and east central Minnesota. Rainfall amounts over five inches occurred in parts of Blue Earth County. Other areas received 2 to 4 inches of rainfall where storms were slow moving and trained. ||Due to the torrential rainfall numerous roads were closed in Blue Earth County, with mudslides reported on the following roads; ||Riverfront north of Augusta and south of greenwood.|Division Street in Mankato.|Behind Happy Chef on Highway 169. |Ahlstrom Road in Mankato.|Warren Street in Mankato.|Industrial Road in Mankato.  |Harper & 8th Avenue in Mankato. ||Other roads that were closed due to flooding in Blue Earth county include; ||County Road 10 in Ceresco Township.|County Road 128 between County Road 30 and 32.|County Road 1 between Skyline and County Road 90. ||Some of the higher rainfall totals include; 6.50 inches one mile south of Lake Crystal, 5.75 inches in North Mankato, and 5.50 inches three miles south of Lake Crystal.",9
632097,LE SUEUR CO.,WATERVILLE,06/14/2016,1505,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,105070,C,79,MPX,0,0,Storm Chaser, ,1.22,25,2,SE,2,ESE,WATERVILLE,06/14/2016,1510,44.1973,-93.5417,44.2106,-93.5253,"A tornado touched down occasionally, mostly over open fields. It did break a few trees. The tornado crossed into Rice County before dissipating.","Tuesday morning, June 14th, a line of thunderstorms moved across far southern Minnesota, and into east central Minnesota and produced localized one to two inch rainfall amounts. During the early afternoon, a line of strong to severe thunderstorms developed across northeast Nebraska, and into northwest Iowa, southwest Minnesota and produced damaging winds of 60 to 70 mph. These storms moved into south central Minnesota and produced a few tornadoes, several reports of wind damage, and torrential rainfall which led to flash flooding. ||Most of the storms weakened below severe limits as they moved northward, toward the Twin Cities. However, torrential rainfall and areas of flash and areal flooding occurred across portions of southern and east central Minnesota. Rainfall amounts over five inches occurred in parts of Blue Earth County. Other areas received 2 to 4 inches of rainfall where storms were slow moving and trained. ||Due to the torrential rainfall numerous roads were closed in Blue Earth County, with mudslides reported on the following roads; ||Riverfront north of Augusta and south of greenwood.|Division Street in Mankato.|Behind Happy Chef on Highway 169. |Ahlstrom Road in Mankato.|Warren Street in Mankato.|Industrial Road in Mankato.  |Harper & 8th Avenue in Mankato. ||Other roads that were closed due to flooding in Blue Earth county include; ||County Road 10 in Ceresco Township.|County Road 128 between County Road 30 and 32.|County Road 1 between Skyline and County Road 90. ||Some of the higher rainfall totals include; 6.50 inches one mile south of Lake Crystal, 5.75 inches in North Mankato, and 5.50 inches three miles south of Lake Crystal.",10
